cell_id,ticker,year,column,value_state,source_class,evidence_level,source_artifact,source_field,source_effective_year,source_retrieved_at,transform_id,upstream_cells,resolution_note
MIATK|2024|is_inference_row,MIATK,2024,is_inference_row,present,derived,derived_chain,,,,,T_RATIO,MIATK|2024|next_year_return_pct,derived_from_dataset_cells
MIATK|2024|is_public_universe,MIATK,2024,is_public_universe,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2024|is_training_universe,MIATK,2024,is_training_universe,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2024|universe_source,MIATK,2024,universe_source,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2025|ticker,MIATK,2025,ticker,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2025|company_name,MIATK,2025,company_name,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2025|year,MIATK,2025,year,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2025|sector,MIATK,2025,sector,null,metadata,column_asserted,,,,,T_NULL_PRESERVED,,null_preserved
MIATK|2025|indices,MIATK,2025,indices,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2025|is_bist100,MIATK,2025,is_bist100,present,metadata,column_asserted,,,,,T_METADATA,,column_asserted_no_cell_source
MIATK|2025|benchmark_same_year_return_pct,MIATK,2025,benchmark_same_year_return_pct,present,yahoo_fetch,cell_verified,data/trusted_raw/bist100_benchmark_returns.csv,bist100_return_pct,2025,,T_COPY,,
MIATK|2025|current_assets,MIATK,2025,current_assets,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_assets,2025,,T_COPY,,
MIATK|2025|current_ratio,MIATK,2025,current_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,current_ratio,2025,,T_COPY,,
MIATK|2025|ebitda,MIATK,2025,ebitda,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda,2025,,T_COPY,,
MIATK|2025|ebitda_growth_pct,MIATK,2025,ebitda_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2025|ebitda_margin,MIATK,2025,ebitda_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,ebitda_margin,2025,,T_COPY,,
MIATK|2025|enterprise_value,MIATK,2025,enterprise_value,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,enterprise_value,2025,,T_RATIO,,
MIATK|2025|equity,MIATK,2025,equity,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,total_equity,2025,,T_COPY,,
MIATK|2025|ev_ebitda,MIATK,2025,ev_ebitda,present,derived,cell_verified,data/trusted_raw/financials/free_valuation_history_candidate.csv,ev_ebitda,2025,,T_RATIO,,
MIATK|2025|financial_debt_ratio,MIATK,2025,financial_debt_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,financial_debt_ratio,2025,,T_COPY,,
MIATK|2025|gross_margin,MIATK,2025,gross_margin,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit_margin,2025,,T_COPY,,
MIATK|2025|gross_profit,MIATK,2025,gross_profit,present,corrected_yearly_csv,cell_verified,data/trusted_raw/financials/corrected_yearly_financials_candidate.csv,gross_profit,2025,,T_COPY,,
MIATK|2025|gross_profit_growth_pct,MIATK,2025,gross_profit_growth_pct,present,vendor_xlsx,column_asserted,,,,,T_RATIO,,column_asserted_no_cell_source
MIATK|2025|leverage_ratio,MIATK,2025,leverage_ratio,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,leverage_ratio,2025,,T_COPY,,
MIATK|2025|long_term_liabilities,MIATK,2025,long_term_liabilities,present,vendor_xlsx,cell_verified,data/trusted_raw/financials/candidate_from_yearly_snapshots.csv,long_term_liabilities,2025,,T_COPY,,
