year,regime_start_date,regime_end_date,regime_id,cpi_december_yoy_pct,cpi_effective_date,cpi_source_id,policy_rate_year_end_pct,policy_rate_effective_date,policy_rate_source_id,usdtry_year_end_try_per_usd,usdtry_price_date,usdtry_source_id,bist100_return_pct,bist100_period_end_date,bist100_source_id
2020,2020-01-01,2025-12-31,observed_2020_2025_macro_period,14.60,2020-12-31,tuik_cpi_december_yoy,17.00,2020-12-25,tcmb_one_week_repo,7.3737301826,2020-12-31,yahoo_try_x_year_end,27.38,2020-12-31,yfinance_xu100_calendar_return
2021,2020-01-01,2025-12-31,observed_2020_2025_macro_period,36.08,2021-12-31,tuik_cpi_december_yoy,14.00,2021-12-17,tcmb_one_week_repo,13.2904996872,2021-12-31,yahoo_try_x_year_end,24.23,2021-12-31,yfinance_xu100_calendar_return
2022,2020-01-01,2025-12-31,observed_2020_2025_macro_period,64.27,2022-12-31,tuik_cpi_december_yoy,9.00,2022-11-25,tcmb_one_week_repo,18.7029895782,2022-12-30,yahoo_try_x_year_end,185.94,2022-12-31,yfinance_xu100_calendar_return
2023,2020-01-01,2025-12-31,observed_2020_2025_macro_period,64.77,2023-12-31,tuik_cpi_december_yoy,42.50,2023-12-22,tcmb_one_week_repo,29.5198001862,2023-12-29,yahoo_try_x_year_end,31.96,2023-12-31,yfinance_xu100_calendar_return
2024,2020-01-01,2025-12-31,observed_2020_2025_macro_period,44.38,2024-12-31,tuik_cpi_december_yoy,47.50,2024-12-27,tcmb_one_week_repo,35.3052482605,2024-12-31,yahoo_try_x_year_end,28.94,2024-12-31,yfinance_xu100_calendar_return
2025,2020-01-01,2025-12-31,observed_2020_2025_macro_period,30.89,2025-12-31,tuik_cpi_december_yoy,38.00,2025-12-12,tcmb_one_week_repo,42.9519805908,2025-12-31,yahoo_try_x_year_end,12.64,2025-12-31,yfinance_xu100_calendar_return
