carrier,model,ic_injected,level_index,repetition,injection_seed,permutation_seed,injected_dataset_sha256,permutation_p_value_two_sided,stage1_operating_point_p_value,detected_stage1_rule,detected_raw_p05,n_ic_injected,ic_raw_carrier,n_ic_raw_carrier,ic_panel_carrier,n_ic_panel_carrier,ic_model_input_carrier,n_ic_model_input_carrier,ic_model_prediction,n_ic_model_prediction,ic_final_evaluation,n_ic_final_evaluation,invariant_carrier_missingness_mask_preserved,invariant_carrier_observed_value_multiset_preserved_within_year,invariant_carrier_reaches_model_input,invariant_identity_checkpoint_ics_agree,invariant_non_carrier_features_unchanged,invariant_ridge_prediction_ic_equals_final_evaluation_ic,invariant_targets_unchanged
equity,ridge,0.29999999999999999,3,239,42030386,281,44cff05036d54a1a76e6cd0e214522a169f92c2508b3859ccbc7795bd11936c9,0.042195780422,0.21097890211000001,False,True,,0.25537049940399997,240,0.25537049940399997,240,0.25537049940399997,240,0.13226301421,240,0.13226301421,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,240,42030387,282,b88017f59d5450837b8f831c57ec31f9793c5a89d7e6d5c5b8a5b3e3a58d9fce,0.082491750825000001,0.41245875412499999,False,False,,0.121160043777,240,0.121160043777,240,0.121160043777,240,0.111603024759,240,0.111603024759,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,241,42030388,283,07d60826e28fe1751cd4ffe11f314b7739c6f431edf257593cb91ffa7d001c2e,0.019698030197000001,0.098490150984999997,False,True,,0.24297670918399999,240,0.24297670918399999,240,0.24297670918399999,240,0.14928116808399999,240,0.14928116808399999,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,242,42030389,284,3af4ec8fe5af80aea84fca61bbdc9369181058d301937854441fb1654555cf0e,0.0071992800720000003,0.03599640036,True,True,,0.31762216996699999,240,0.31762216996699999,240,0.31762216996699999,240,0.172191225058,240,0.172191225058,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,243,42030390,285,149106356195d7212c7059d1220d9536f1dffe743c60377a2bab54ffa5a53069,0.018198180182,0.090990900910000005,False,True,,0.34565945931399999,240,0.34565945931399999,240,0.34565945931399999,240,0.154321127596,240,0.154321127596,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,244,42030391,286,44250b07a514ac62d9bcade2bf75ff0b49dd69b72abc280c5f6b9f3747dd2346,0.12488751124899999,0.62443755624499997,False,False,,0.36401276485200001,240,0.36401276485200001,240,0.36401276485200001,240,0.099163661690000002,240,0.099163661690000002,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,245,42030392,287,80245093366a8ea6219d65c4e62841619c2c5cc1ed53b20efd9c76c19c782f25,0.0047995200479999996,0.02399760024,True,True,,0.28471992768499998,240,0.28471992768499998,240,0.28471992768499998,240,0.18277967813000001,240,0.18277967813000001,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,246,42030393,288,fb9578afff7791c56457cc324fa92cc5218fda2324cb4cddd41b1cb71aabfb5d,0.00069993000699999995,0.0034996500349999998,True,True,,0.31068330428300001,240,0.31068330428300001,240,0.31068330428300001,240,0.228512902223,240,0.228512902223,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,247,42030394,289,23ce8ce104b1f90a3b39f1318b5b64c369f8238e081599d012cdb72746d641fd,0.0011998800119999999,0.00599940006,True,True,,0.29872871025699999,240,0.29872871025699999,240,0.29872871025699999,240,0.209884874384,240,0.209884874384,240,True,True,True,True,True,True,True
equity,ridge,0.29999999999999999,3,248,42030395,290,6428889110fb83f2fca08f907f56f780b43172a62658a5c78e6fd7db592a8358,0.00059994000599999995,0.00299970003,True,True,,0.37199033759700001,240,0.37199033759700001,240,0.37199033759700001,240,0.23403710599800001,240,0.23403710599800001,240,True,True,True,True,True,True,True
