source_id,source_row_number,ticker_or_share_code,company_name,raw_q4_index_value,normalized_narrowest_index,is_xu030,is_xu050,is_xu100,nested_expansion_applied,identity_status,collision_reconciliation_status,revision_status,provenance_status,notes
P3184-2020-Q4-01,91,THYAO,TURK HAVA YOLLARI,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,92,TTKOM,TURK TELEKOM,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,93,TTRAK,TURK TRAKTOR,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,94,TURSG,TURKIYE SIGORTA,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,95,ULKER,ULKER BISKUVI,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,96,VAKBN,VAKIFLAR BANKASI,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,97,VESTL,VESTEL,XU050,XU050,FALSE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,98,YKBNK,YAPI VE KREDI BANK.,XU030,XU030,TRUE,TRUE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,99,YATAS,YATAS,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
P3184-2020-Q4-01,100,ZOREN,ZORLU ENERJI,XU100,XU100,FALSE,FALSE,TRUE,TRUE,NA,ROW_LEVEL_RECONCILIATION_NOT_PERFORMED,REVISION_CANONICALIZATION_RESOLVED,ACQUIRED_PRIVATE_LOCAL_VERIFIED,NA
