surface_id,operator,q,metric_scope,window_condition_id,split,year,model,kind,n,split_count,observed_ic,bootstrap_ci_95_low,bootstrap_ci_95_high,permutation_p_value_two_sided,observed_null_percentile,bonferroni_adjusted_p_value,significant_fwer_0_05,delta_observed_ic,delta_n,delta_split_count,significance_verdict_changed
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,elasticnet,ml,80,,-0.022644163150492263,-0.26009155447190563,0.21737904145983142,0.84111588841115892,42.460000000000001,,,-0.0046882325363338008,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,pooled,pooled,pooled,,elasticnet,ml,240,3,-0.021386926510852878,-0.15195441610778654,0.1116380698354742,0.73662633736626337,37.079999999999998,1,False,-0.0015627441787779348,0,0,False
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,gradient_boosting,ml,80,,-0.10041728206805522,-0.31504982917416813,0.12689046120011929,0.37566243375662434,19.045000000000002,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,gradient_boosting,ml,80,,-0.11588206682141571,-0.33362277561322506,0.11038747318966721,0.30696930306969306,15.06,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,gradient_boosting,ml,80,,-0.087529301453352082,-0.3080731228900177,0.14014222284718486,0.43815618438156184,21.52,,,0.011931551804969534,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,pooled,pooled,pooled,,gradient_boosting,ml,240,3,-0.10127621678094101,-0.22592793547299803,0.029821623406070259,0.11818818118188182,5.8899999999999997,0.70912908709129097,False,0.0039771839349898447,0,0,False
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,lasso,ml,80,,0.010806629319174452,-0.22036568918027211,0.24346915467431607,0.92600739926007403,54.244999999999997,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,lasso,ml,80,,0.13867791842475385,-0.086265496798695745,0.35527515559127942,0.21697830216978303,89.010000000000005,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,lasso,ml,80,,0.063642756680731369,-0.17283313261736713,0.29192516782938693,0.56784321567843221,71.640000000000001,,,-0.055508673230192207,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,pooled,pooled,pooled,,lasso,ml,240,3,0.071042434808219881,-0.063744582611014289,0.20189771041574359,0.27267273272672732,86.189999999999998,1,False,-0.01850289107673074,0,0,False
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,linear_regression,ml,80,,-0.044164185764261753,-0.26937422664374999,0.18948246745486869,0.70342965703429661,35.219999999999999,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,linear_regression,ml,80,,0.081153305203938111,-0.14646691890310515,0.30450216227811266,0.47045295470452952,76.019999999999996,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,linear_regression,ml,80,,0.11254102203469292,-0.12229843511842187,0.32865926575099824,0.31706829317068291,83.859999999999999,,,0.01193155180496952,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,pooled,pooled,pooled,,linear_regression,ml,240,3,0.049843380491456424,-0.082697198900162971,0.17950010705254518,0.44075592440755923,77.640000000000001,1,False,0.0039771839349898377,0,0,False
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2023,test_2023,2023,random_forest,ml,80,,-0.14664048995731951,-0.35156085383753283,0.076382624288054327,0.19448055194480551,9.6300000000000008,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2024,test_2024,2024,random_forest,ml,80,,-0.17269205750447447,-0.36633456908273537,0.038374462115813086,0.1287871212878712,6.3700000000000001,,,0,0,,
winsorization__q_0p025,winsorization,0.025000000000000001,per_split,winsorization__q_0p025__test_2025,test_2025,2025,random_forest,ml,80,,-0.13531490456693074,-0.35557164174652084,0.097489220931386025,0.23067693230676933,10.99,,,0.0052039686121886086,0,,
