control,role,repetition_id,status,analyzable,classification,model,model_status,permutations,bootstraps,significance_seed,family_reject,observed_ic,permutation_p_value_two_sided,bootstrap_ci_95,degeneracy,mechanism_invariants
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1001,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,1043,False,0.027927421747426712,0.66283371662833712,"[-0.10048965840600013, 0.1582329688452131]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1001,ANALYZABLE,True,ANALYZABLE,gradient_boosting,ANALYZABLE,10000,10000,1043,False,0.027959148657884292,0.66223377662233773,"[-0.09768152459923006, 0.15603967545732203]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1002,ANALYZABLE,True,ANALYZABLE,linear_regression,ANALYZABLE,10000,10000,1044,False,-0.15351778793923274,0.016798320167983202,"[-0.28286314679794095, -0.01670739850162841]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1002,ANALYZABLE,True,ANALYZABLE,ridge,ANALYZABLE,10000,10000,1044,False,-0.15601833523489489,0.015098490150984901,"[-0.2845655055125589, -0.01944598848406145]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1002,ANALYZABLE,True,ANALYZABLE,lasso,ANALYZABLE,10000,10000,1044,False,-0.15197072999953753,0.018398160183981601,"[-0.2825461659831446, -0.015340974511147812]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1002,ANALYZABLE,True,ANALYZABLE,elasticnet,ANALYZABLE,10000,10000,1044,False,-0.13943751582432595,0.030496950304969503,"[-0.26765538938173483, -0.003193878248080701]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1002,ANALYZABLE,True,ANALYZABLE,random_forest,ANALYZABLE,10000,10000,1044,False,0.035358109495008068,0.58344165583441654,"[-0.09471732833101525, 0.16305616958434213]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1002,ANALYZABLE,True,ANALYZABLE,gradient_boosting,ANALYZABLE,10000,10000,1044,False,0.017526577838094696,0.78772122787721233,"[-0.11410476208625239, 0.14802934687705557]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1003,ANALYZABLE,True,ANALYZABLE,linear_regression,ANALYZABLE,10000,10000,1045,False,-0.054236379171138667,0.40455954404559547,"[-0.17956814310435007, 0.06886032128255454]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
NC0_ROW_PERMUTED_MASK_RANK_GAUSSIAN,CONFIRMATORY / GATING,1003,ANALYZABLE,True,ANALYZABLE,ridge,ANALYZABLE,10000,10000,1045,False,-0.067473159213442116,0.29587041295870414,"[-0.19008719034877217, 0.05445767256087125]",[],"{""canonical_splits_unchanged"": true, ""feature_matrix_replaced_from_real"": true, ""fresh_iid_noise_construction"": true, ""joint_mask_permutation_matches_registered_seed"": true, ""mask_row_alignment_changed"": true, ""per_feature_year_missingness_counts_preserved"": true, ""rank_transform_after_masking_exact"": true, ""row_universe_unchanged"": true, ""rowwise_co_missingness_multiset_preserved"": true, ""six_models_and_splits_unchanged"": true, ""target_byte_identical"": true, ""target_multiset_by_year_preserved"": true, ""target_null_locations_preserved"": true, ""target_return_byte_identical"": true}"
