ticker,company_name,year,sector,indices,is_bist100,benchmark_same_year_return_pct,current_assets,current_ratio,ebitda,ebitda_growth_pct,ebitda_margin,enterprise_value,equity,ev_ebitda,financial_debt_ratio,gross_margin,gross_profit,gross_profit_growth_pct,leverage_ratio,long_term_liabilities,market_cap,net_debt,net_debt_to_ebitda,net_income,net_income_growth_pct,net_margin,non_current_assets,operating_income,operating_income_growth_pct,pb_ratio,pe_ratio,price_adjclose_t,price_data_available,price_drawdown_from_3y_high_pct,price_history_years_available,price_momentum_1y_pct,price_momentum_2y_pct,price_vs_bist100_1y_pct,revenue,revenue_growth_pct,roa,roe,short_term_liabilities,total_assets,working_capital,next_year_return_pct,next_year_rank_by_return,next_year_return_percentile,next_year_top_10pct_returner,next_year_top_20pct_returner,next_year_bist100_return_pct,next_year_excess_return_vs_bist100,next_year_outperform_bist100,same_year_return_pct,target_year,has_target,is_inference_row,is_public_universe,is_training_universe,universe_source
DOAS,DOAS,2020,,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,27.38,66090470000.0,1.433344438113349,1575179000.0,-32.83493887197043,8.334215160643186,28328935240.0,67148466000.0,17.9846,23.57945157557572,12.48121428891066,2475098000.0,-19.32542887566231,47.75630373688362,16150209000.0,3144359240.0,25184576000.0,1.711236295100516,1037334000.0,-68.39225848416312,5.488496703835335,64278669000.0,1444467000.0,-45.88322780871864,0.0468,3.0312,14.292542,1.0,0.0,1.0,,,,18900148000.0,3.736515503942652,14.57516466600179,45.35882054315987,46109273000.0,130369139000.0,19981197000.0,72.51655629139074,11.0,75.0,False,False,24.23,48.28655629139074,True,200.3898635477583,2021,True,False,True,True,public_40
DSTKF,DSTKF,2020,,"BIST MALİ (XUMAL), BIST HALKA ARZ (XHARZ), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",True,,98596299419.1579,1.605486929375312,3169731000.0,5.603630940958229,45.18637325629234,,12206297000.0,,0.0,45.18637325629234,108879000.0,5.603630940958229,74.83010164939655,66344431217.42105,,-7487016000.0,-2.362035137997514,66747000.0,78.40787958896517,53.68340110914163,175400085449.7105,10267860592.31579,-1.794588086708604,,,,,,,,,,7014794000.0,42.99557933970183,4.657038199895343,44.82459892971745,77104957907.8421,48495615000.0,21491341511.31579,56.94799128792934,15.0,60.0,False,False,24.23,32.71799128792934,True,82.82446994315877,2021,True,False,True,True,public_40
ENKAI,ENKAI,2020,,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,27.38,275272393000.0,3.788457272327595,2736387000.0,47.64039657864126,23.5550065903372,-182561438200.0,373216949000.0,-66.7162,1.400828177627218,24.95204445068816,2898681000.0,46.56788617505266,23.02375482189342,40860038000.0,30709072800.0,-213270511000.0,-6.283078508420121,4505060000.0,46.54527550245396,38.77986483266604,217787292000.0,2078985000.0,49.57237112784911,0.0823,6.8166,5.483763,1.0,0.0,1.0,,,,11617008000.0,55.66433152590219,7.259923841270751,9.168937551248945,72660815000.0,493059685000.0,202611578000.0,111.660777385159,8.0,82.5,False,True,24.23,87.43077738515899,True,31.76470588235293,2021,True,False,True,True,public_40
EREGL,EREGL,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,27.38,257051476000.0,2.030442529268359,7098673000.0,41.00850850002011,22.15010788963028,51010147500.0,295496351000.0,7.1859,26.98363686716349,18.48662206340365,5924598000.0,26.42180562329629,47.1433832273448,145298849000.0,19538872500.0,31471275000.0,1.421219019628917,3309093000.0,-9.975163524387357,10.32541814037924,319694560000.0,5573200000.0,27.92386642366773,0.0661,5.9046,5.582535,1.0,0.0,1.0,,,,32048029000.0,11.46748113494189,5.705931684691317,8.3123351662409,126598745000.0,576746036000.0,130452731000.0,116.2790697674419,7.0,85.0,False,True,24.23,92.04906976744188,True,67.85714285714286,2021,True,False,True,True,public_40
FROTO,FROTO,2020,,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,27.38,223456658000.0,1.237140354858528,5722236000.0,-0.1511537551296903,11.5714321333668,102359644286.02,156020689000.0,17.8881,36.19666292094078,12.51031947382205,6186529000.0,-2.92294296792062,65.38876319946884,114136231000.0,3166128286.02,99193516000.0,1.903720927590312,4194913000.0,-33.1892995026332,8.482899182221448,227323792000.0,4805661000.0,12.29578595606876,0.0203,0.7548,9.022622,1.0,0.0,1.0,,,,49451407000.0,6.680383640373072,17.22814966369092,59.55382400266216,180623530000.0,450780450000.0,42833128000.0,99.0394877267876,9.0,80.0,False,True,24.23,74.8094877267876,True,93.01848049281315,2021,True,False,True,True,public_40
GUBRF,GUBRF,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",True,27.38,39694704626.0,1.475274602025875,599103316.0,89.41980288970892,11.06640485213612,28368323915.0,29796931094.0,47.3513,14.98325300864524,23.76723105478355,1286689501.0,77.1064392126098,44.202511570063,1586839964.0,28774100668.0,-405776753.0,-0.0366960281885557,262056082.0,36.37131488871179,4.840598641214299,24766553049.0,472763948.0,133.6691821284864,0.9657,109.8013,86.150002,1.0,0.0,1.0,,,,5413712258.0,31.15151354937974,5.069858816933319,24.25873268141876,26906654918.0,64461257675.0,12788049708.0,-0.7746933505487448,33.0,20.0,False,False,24.23,-25.004693350548745,False,839.410480349345,2021,True,False,True,True,public_40
HEKTS,HEKTS,2020,,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",True,27.38,6182316144.0,0.529056677213061,262177234.0,10.33073241836171,25.86290684468281,9020783412.0,13955964667.0,34.4072,35.77778203643693,34.65591138114944,351313603.0,7.193859483812521,49.96620939080297,2170037377.0,889907360.0,8130876052.0,2.791092340904628,188330967.0,36.37131488871179,18.57821970724595,21547590841.0,239067029.0,-1.794588086708604,0.0638,4.7252,1.034776,1.0,0.0,1.0,,,,1013719129.0,-3.810143133367588,9.260697096616576,27.01903032367232,11685546011.0,27729906985.0,-5503229867.0,169.5652173913044,3.0,95.0,True,True,24.23,145.3352173913044,True,134.4827586206897,2021,True,False,True,True,public_40
KONTR,KONTR,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",True,27.38,17825476318.0,0.9648147645345296,33401939.0,-76.52379336892136,16.60618818636936,14489430804.0,5841442148.0,433.7901,39.41788384120797,23.65105398080967,47572089.0,-32.02076101617211,80.42298659547971,11542815260.0,258329600.0,14231101204.0,40.60601758753926,23978951.0,36.37131488871179,11.92143284908489,19500118225.0,31646415.0,-19.74615179899992,0.0442,10.7732,1.291648,1.0,0.0,1.0,,,,201141518.0,30.26187109031774,7.491704339694907,17.92263479578839,18475542636.0,37325594543.0,-650066318.0,155.8441558441559,4.0,92.5,True,True,24.23,131.6141558441559,True,82.82446994315877,2021,True,False,True,True,public_40
KRDMD,KRDMD,2020,,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",True,27.38,36570658485.0,1.421263182175259,6833798117.0,24.68840194551919,10.24266066016348,11874225667.0,84652617584.0,1.7376,6.858882213245589,7.772462788765722,5185707438.0,29.77258990220634,33.36784730935516,16660987790.0,6105772740.0,5768452927.0,0.8441064292856693,-1679514697.0,36.37131488871179,-2.517296943896286,90474046455.0,1223249120.0,-1.794588086708604,0.0721,,5.355941,1.0,0.0,1.0,,,,66718974139.0,-9.783235373406711,-1.433425974012343,-2.210207121736284,25731095369.0,127044704940.0,10839563116.0,56.88073394495413,20.0,52.5,False,False,24.23,32.650733944954126,True,111.0236220472441,2021,True,False,True,True,public_40
KUYAS,KUYAS,2020,,"BIST KATILIM TUM (XKTUM), BIST GERİ ALIM (XUGRA), BIST KATILIM 100 (XK100), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",True,27.38,3430358473.0,1.024097507273771,-2767628.0,-84.57395728320287,-41.50746334914268,720348337.0,1433769960.0,,52.02470310122926,55.58107461189504,3706026.0,-66.80823364251552,71.5307211596518,254450664.0,57250000.0,663098337.0,6.230971276860584,9877822.0,36.37131488871179,148.1425013167793,1608163567.0,-2843187.0,-1.794588086708604,0.0399,5.7958,0.5725,1.0,0.0,1.0,,,,6667784.0,-18.9303538799043,3.534152521572744,5.750976584713851,3349640487.0,5038522040.0,80717986.0,116.9491525423729,6.0,87.5,False,True,24.23,92.7191525423729,True,107.1428571428571,2021,True,False,True,True,public_40
