ticker,year,target_year,next_year_nominal_try_return_pct,cpi_december_yoy_pct,next_year_real_return_pct,usdtry_start_try_per_usd,usdtry_end_try_per_usd,next_year_usd_return_pct,real_target_status,usd_target_status
OTKAR,2023,2024,15.4475000000,44.3800000000,-20.0391328439,29.5198001862,35.3052482605,-3.4708067523,derived,derived
OYAKC,2023,2024,68.7546057480,44.3800000000,16.8822591411,29.5198001862,35.3052482605,41.1008982411,derived,derived
PASEU,2023,2024,124.6200607903,44.3800000000,55.5756065870,29.5198001862,35.3052482605,87.8117174936,derived,derived
PETKM,2023,2024,-0.6040637013,44.3800000000,-31.1567140194,29.5198001862,35.3052482605,-16.8920111478,derived,derived
PGSUS,2023,2024,60.2829407781,44.3800000000,11.0146424561,29.5198001862,35.3052482605,34.0174795009,derived,derived
PRKME,2023,2024,28.9104000000,44.3800000000,-10.7145033938,29.5198001862,35.3052482605,7.7859365793,derived,derived
RGYAS,2023,2024,,44.3800000000,,29.5198001862,35.3052482605,,missing_nominal_target,missing_nominal_target
SAHOL,2023,2024,64.0394000000,44.3800000000,13.6164288683,29.5198001862,35.3052482605,37.1583701929,derived,derived
SASA,2023,2024,-10.7456140351,44.3800000000,-38.1809212045,29.5198001862,35.3052482605,-25.3716722232,derived,derived
SELEC,2023,2024,30.4578000000,44.3800000000,-9.6427483031,29.5198001862,35.3052482605,9.0797651475,derived,derived
