ticker,year,indices,same_year_return_pct,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,current_ratio,leverage_ratio,financial_debt_ratio,net_debt_to_ebitda,revenue_growth_pct,gross_profit_growth_pct,operating_income_growth_pct,ebitda_growth_pct,net_income_growth_pct
DSTKF,2020,"BIST MALİ (XUMAL), BIST HALKA ARZ (XHARZ), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",82.82446994315877,48495615000.0,98596299419.1579,175400085449.7105,77104957907.8421,66344431217.42105,12206297000.0,21491341511.31579,-7487016000.0,1.605486929375312,74.83010164939655,0.0,-2.362035137997514,42.99557933970183,5.603630940958229,-1.794588086708604,5.603630940958229,78.40787958896517
ENKAI,2020,"BIST TEMETTÜ (XTMTU), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",31.76470588235293,493059685000.0,275272393000.0,217787292000.0,72660815000.0,40860038000.0,373216949000.0,202611578000.0,-213270511000.0,3.788457272327595,23.02375482189342,1.400828177627218,-6.283078508420121,55.66433152590219,46.56788617505266,49.57237112784911,47.64039657864126,46.54527550245396
EREGL,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",67.85714285714286,576746036000.0,257051476000.0,319694560000.0,126598745000.0,145298849000.0,295496351000.0,130452731000.0,31471275000.0,2.030442529268359,47.1433832273448,26.98363686716349,1.421219019628917,11.46748113494189,26.42180562329629,27.92386642366773,41.00850850002011,-9.975163524387357
FROTO,2020,"BIST TEMETTÜ (XTMTU), BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",93.01848049281315,450780450000.0,223456658000.0,227323792000.0,180623530000.0,114136231000.0,156020689000.0,42833128000.0,99193516000.0,1.237140354858528,65.38876319946884,36.19666292094078,1.903720927590312,6.680383640373072,-2.92294296792062,12.29578595606876,-0.1511537551296903,-33.1892995026332
GUBRF,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",839.410480349345,64461257675.0,39694704626.0,24766553049.0,26906654918.0,1586839964.0,29796931094.0,12788049708.0,-405776753.0,1.475274602025875,44.202511570063,14.98325300864524,-0.0366960281885557,31.15151354937974,77.1064392126098,133.6691821284864,89.41980288970892,36.37131488871179
HEKTS,2020,"BIST SINAİ (XUSIN), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",134.4827586206897,27729906985.0,6182316144.0,21547590841.0,11685546011.0,2170037377.0,13955964667.0,-5503229867.0,8130876052.0,0.529056677213061,49.96620939080297,35.77778203643693,2.791092340904628,-3.810143133367588,7.193859483812521,-1.794588086708604,10.33073241836171,36.37131488871179
KONTR,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST KURUMSAL YÖNETİM (XKURY), BIST TÜM (XUTUM)",82.82446994315877,37325594543.0,17825476318.0,19500118225.0,18475542636.0,11542815260.0,5841442148.0,-650066318.0,14231101204.0,0.9648147645345296,80.42298659547971,39.41788384120797,40.60601758753926,30.26187109031774,-32.02076101617211,-19.74615179899992,-76.52379336892136,36.37131488871179
KRDMD,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM 100 (XK100), BIST SINAİ (XUSIN), BIST 100 (XU100), BIST 30 (XU030), BIST 50 (XU050), BIST TÜM (XUTUM)",111.0236220472441,127044704940.0,36570658485.0,90474046455.0,25731095369.0,16660987790.0,84652617584.0,10839563116.0,5768452927.0,1.421263182175259,33.36784730935516,6.858882213245589,0.8441064292856693,-9.783235373406711,29.77258990220634,-1.794588086708604,24.68840194551919,36.37131488871179
KUYAS,2020,"BIST KATILIM TUM (XKTUM), BIST GERİ ALIM (XUGRA), BIST KATILIM 100 (XK100), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",107.1428571428571,5038522040.0,3430358473.0,1608163567.0,3349640487.0,254450664.0,1433769960.0,80717986.0,663098337.0,1.024097507273771,71.5307211596518,52.02470310122926,6.230971276860584,-18.9303538799043,-66.80823364251552,-1.794588086708604,-84.57395728320287,36.37131488871179
MAVI,2020,"BIST KATILIM TUM (XKTUM), BIST KATILIM TEMETTU (XKTMT), BIST GERİ ALIM (XUGRA), BIST TEMETTÜ (XTMTU), BIST KATILIM 100 (XK100), BIST SÜRDÜRÜLEBİLİRLİK (XUSRD), BIST 100 (XU100), BIST 50 (XU050), BIST TÜM (XUTUM)",-9.177215189873422,26981371000.0,17960054000.0,9021317000.0,10989956000.0,2059788000.0,13887148000.0,6970098000.0,-4057245000.0,1.634224377240455,48.36575576533898,16.53607965288347,-0.4589145296438396,-5.160630603014495,-3.834810812143546,-10.7415742987154,-3.504101612681764,-35.55564234828147
