ticker,year,revenue,gross_profit,operating_income,ebitda,net_income,gross_profit_margin,ebitda_margin,net_profit_margin,roe,roa
AEFES,2020,243847131000.0,91925944000.0,25729479000.0,39545145000,8956856000,37.6981855898891,16.21718690633272,3.67314389276124,8.194206905394882,2.048200044157177
ARCLK,2020,40872483000.0,13806373000.0,4852296000.0,6074290000,2847839000,33.77913937844197,14.86156346312506,6.967619265998594,20.60658268478865,6.117932303829914
ASELS,2020,16104455000.0,4605015000.0,5276389000.0,5561887000,4449106000,28.59466526498413,34.53632550744499,27.62655426712671,24.88069267898167,13.04944012665604
ASTOR,2020,35290767390.0,13039821956.0,9777395430.0,11102586376,7668909328,36.94966961725793,31.46031440264467,21.73063918744103,25.33602228118946,16.91523939254488
BIMAS,2020,55495364000.0,10121233000.0,3785556000.0,5155629000,2606815000,18.23797930219901,9.290197646059228,4.697356341333305,36.32843796001693,11.12583231997279
BRSAN,2020,3728997637.0,350039360.0,166321088.0,387768056,-10503167,8.412569862143778,10.39872088285799,-0.2816619376688546,-0.2960182706234296,-0.1306509087472649
BTCIM,2020,1160528594.0,171192216.0,40076750.0,124868419,-327011521,14.75122774958529,10.75961588930914,-28.17780817212678,-94.81162062946186,-12.8886973108245
CANTE,2020,6160091890.0,386320551.0,-852791069.0,2166912447,-1708553002,6.2713439652927,35.17662537660619,-27.73583629123429,-5.958179929072846,-5.278277952663968
CCOLA,2020,14391013000.0,5072195000.0,2143130000.0,3061498000,1232671000,35.56278859692421,21.2736796221364,8.565561020617519,16.08724721239829,7.311765140987912
CIMSA,2020,2076298962.0,467752689.0,350919550.0,495280729,175746242,22.52819548440347,23.85401804193553,8.464399646509095,10.97291727194727,4.011230183763919
DOAS,2020,18900148000.0,2475098000.0,1444467000.0,1575179000,1037334000,12.48121428891066,8.334215160643186,5.488496703835335,45.35882054315987,14.57516466600179
DSTKF,2020,7014794000.0,108879000.0,10267860592.31579,3169731000,66747000,45.18637325629234,45.18637325629234,53.68340110914163,44.82459892971745,4.657038199895343
ENKAI,2020,11617008000.0,2898681000.0,2078985000.0,2736387000,4505060000,24.95204445068816,23.5550065903372,38.77986483266604,9.168937551248945,7.259923841270751
EREGL,2020,32048029000.0,5924598000.0,5573200000.0,7098673000,3309093000,18.48662206340365,22.15010788963028,10.32541814037924,8.3123351662409,5.705931684691317
