ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin
KCHOL,2024,yfinance_unofficial,2026-06-10,3033955000000.0,429110000000.0,88789000000.0,1709000000.0,117151000000.0,5115459000000.0,2967964000000.0,2147495000000.0,3409284000000.0,582254000000.0,691939000000.0,-441320000000.0,869489000000.0,0.247,0.0334,14.1436,0.0563,3.8613
KCHOL,2025,yfinance_unofficial,2026-06-10,2757295000000.0,469354000000.0,104094000000.0,22001000000.0,134594000000.0,5317600000000.0,3016408000000.0,2301192000000.0,3459611000000.0,765416000000.0,677349000000.0,-443203000000.0,1129752000000.0,3.2481,0.4137,17.0223,0.7979,4.8814
ODAS,2022,yfinance_unofficial,2026-06-10,15804775576.0,6233868711.0,5856373601.0,1402004017.0,5908105928.0,24079050696.0,7279749670.0,16799301026.0,4866285092.0,4055901264.0,12150040365.0,2413464578.0,1477063182.0,11.5391,5.8225,39.4429,8.8708,37.3818
ODAS,2023,yfinance_unofficial,2026-06-10,10743366289.0,2544541782.0,1589710234.0,5496402341.0,1676946993.0,32574419600.0,7781980367.0,24792439233.0,5266992559.0,1643626101.0,16977427728.0,2514987808.0,,32.3748,16.8734,23.6848,51.1609,15.6091
ODAS,2024,yfinance_unofficial,2026-06-10,10215595076.0,2304555051.0,774159839.0,-3898603214.0,898493267.0,44710249425.0,10339871029.0,34370378396.0,8171734850.0,1683859232.0,17170320815.0,2168136179.0,,-22.7055,-8.7197,22.5592,-38.1633,8.7953
ODAS,2025,yfinance_unofficial,2026-06-10,8912508577.0,1625469691.0,-382111001.0,467121801.0,-237720505.0,41395090577.0,7548750555.0,33846340022.0,3894376055.0,1535574601.0,15541633782.0,3654374500.0,259239316.0,3.0056,1.1284,18.2381,5.2412,-2.6673
SAHOL,2022,yfinance_unofficial,2026-06-10,355699436000.0,,,39421491000.0,,2129225298000.0,,,,,217890185000.0,,,18.0924,1.8514,,11.0828,
SAHOL,2023,yfinance_unofficial,2026-06-10,523497276000.0,,,22273810000.0,,3165265998000.0,,,,,318633288000.0,,,6.9904,0.7037,,4.2548,
SAHOL,2024,yfinance_unofficial,2026-06-10,542558776000.0,,,-20254961000.0,,4023199831000.0,,,,,370762598000.0,,,-5.4631,-0.5035,,-3.7332,
SAHOL,2025,yfinance_unofficial,2026-06-10,532410558000.0,,,3793369000.0,,4101380927000.0,,,,,361227167000.0,,,1.0501,0.0925,,0.7125,
SMRTG,2022,yfinance_unofficial,2026-06-10,3973288754.0,606339883.0,421411464.0,88716585.0,431919013.0,4294263789.0,3641419864.0,652843925.0,2667816199.0,194299153.0,1442281054.0,973603665.0,,6.1511,2.0659,15.2604,2.2328,10.8706
SMRTG,2023,yfinance_unofficial,2026-06-10,11684945071.0,2667087912.0,1883986563.0,1476970648.0,1908995286.0,15232958707.0,10286230998.0,4946727709.0,9233794679.0,2926265473.0,3065140922.0,1052436319.0,4045749628.0,48.1861,9.6959,22.825,12.6399,16.3372
SMRTG,2024,yfinance_unofficial,2026-06-10,15285067108.0,2977002128.0,1940680301.0,577403387.0,1960894582.0,22856836888.0,13936850241.0,8919986647.0,14752851853.0,3504490491.0,4598732158.0,-816001612.0,7137182924.0,12.5557,2.5262,19.4765,3.7776,12.8288
SMRTG,2025,yfinance_unofficial,2026-06-10,10581001663.0,2537199342.0,1641703423.0,-434718338.0,1677129403.0,25347746821.0,13362253830.0,11985492991.0,17137984651.0,3586037730.0,4633827218.0,-3775730821.0,8436575020.0,-9.3814,-1.715,23.9788,-4.1085,15.8504
VESTL,2022,yfinance_unofficial,2026-06-10,111124940000.0,18889685000.0,2173125000.0,-111335000.0,2646700000.0,112100710000.0,49223234000.0,62877476000.0,77458315000.0,4415171000.0,27374845000.0,-28235081000.0,31876842000.0,-0.4067,-0.0993,16.9986,-0.1002,2.3817
VESTL,2023,yfinance_unofficial,2026-06-10,162015698000.0,36055173000.0,6928938000.0,2092951000.0,7669840000.0,180734547000.0,69453104000.0,111281443000.0,112814094000.0,8926985000.0,52040254000.0,-43360990000.0,37869734000.0,4.0218,1.158,22.2541,1.2918,4.734
VESTL,2024,yfinance_unofficial,2026-06-10,186831127000.0,39018019000.0,3357275000.0,-14425241000.0,4715756000.0,228399157000.0,73219284000.0,155179873000.0,125525527000.0,34276667000.0,58554146000.0,-52306243000.0,75434056000.0,-24.6357,-6.3158,20.8841,-7.721,2.5241
VESTL,2025,yfinance_unofficial,2026-06-10,138249521000.0,22456676000.0,-12352067000.0,-29681104000.0,-10019836000.0,196443102000.0,48526174000.0,147916928000.0,105833729000.0,55416743000.0,26878386000.0,-57307555000.0,84749884000.0,-110.4274,-15.1093,16.2436,-21.4692,-7.2476
