ticker,year,source,retrieved_at,revenue,gross_profit,operating_income,net_income,ebitda,total_assets,current_assets,non_current_assets,short_term_liabilities,long_term_liabilities,equity,working_capital,net_debt,roe,roa,gross_margin,net_margin,ebitda_margin,_bank_warning
AKSEN,2024,yfinance_unofficial,2026-06-10,41412051265.0,8754153044.0,7064842424.0,2627313791.0,7066245613.0,108342312386.0,19390517893.0,88951794493.0,28422249759.0,21632889134.0,53201282506.0,-9031731866.0,35212459041.0,4.9384,2.425,21.1391,6.3443,17.0633,
AKSEN,2025,yfinance_unofficial,2026-06-10,42385314361.0,10544729999.0,9109343349.0,3652368390.0,9112320700.0,129590455824.0,19990857936.0,109599597888.0,26237982428.0,38221621378.0,59559759570.0,-6247124492.0,47547471537.0,6.1323,2.8184,24.8783,8.6171,21.4988,
ALARK,2021,yfinance_unofficial,2026-06-10,,,,,,,,,,,,,,,,,,,
ALARK,2022,yfinance_unofficial,2026-06-10,12271876777.0,1659947579.0,840958817.0,16706224701.0,880934953.0,51831923975.0,14786673218.0,37045250757.0,12322880517.0,1820669399.0,35004659540.0,2463792701.0,,47.7257,32.2315,13.5264,136.1342,7.1785,
ALARK,2023,yfinance_unofficial,2026-06-10,11977992000.0,993533000.0,-498063000.0,9565558000.0,-393821000.0,112176883000.0,29679656000.0,82497227000.0,24880134000.0,4244735000.0,77480219000.0,4799522000.0,3481323000.0,12.3458,8.5272,8.2947,79.8594,-3.2879,
ALARK,2024,yfinance_unofficial,2026-06-10,9945559000.0,424554000.0,-2290643000.0,2794450000.0,-2171655000.0,122956401000.0,25445225000.0,97511176000.0,24913215000.0,13352467000.0,78619876000.0,532010000.0,8865405000.0,3.5544,2.2727,4.2688,28.0975,-21.8354,
ALARK,2025,yfinance_unofficial,2026-06-10,8669090000.0,174929000.0,-2388497000.0,-1223149000.0,-2278572000.0,125613521000.0,21834225000.0,103779296000.0,26537228000.0,18671457000.0,74362584000.0,-4703003000.0,19980923000.0,-1.6448,-0.9737,2.0178,-14.1093,-26.2839,
ALBRK,2022,yfinance_unofficial,2026-06-10,9739683000.0,,,1699161000.0,,146963163000.0,,,,,8570461000.0,,,19.8258,1.1562,,17.4458,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ALBRK,2023,yfinance_unofficial,2026-06-10,17050713000.0,,,3969283000.0,,233236983000.0,,,,,14064624000.0,,,28.2217,1.7018,,23.2793,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
ALBRK,2024,yfinance_unofficial,2026-06-10,16993171000.0,,,5159309000.0,,311885422000.0,,,,,19944229000.0,,,25.8687,1.6542,,30.3611,,Bank ticker: 'revenue' is net interest income; EBITDA undefined; gross_profit unavailable. Ratios not comparable with non-bank companies.
