ticker,year,market_cap,enterprise_value,pe,pb,ev_ebitda,year_end_close,shares_outstanding,source_price,source_shares,source_financials,validation_status,validation_notes
BTCIM,2025,21259800000.0,26617948000.0,,0.9724,21.8369,3.81,5580000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
CANTE,2020,,,,,,,252410000.0,,manual,modeling_dataset,rejected,missing_price
CANTE,2021,218715200.0,386610916.0,,0.0078,1.2213,0.683485,320000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
CANTE,2022,2223176000.0,2391071716.0,1.0403,0.0796,1.0905,6.947425,320000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CANTE,2023,725619840.0,893515556.0,1.6242,0.026,0.6372,2.267562,320000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CANTE,2024,531200000.0,,,,,1.66,320000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income;pb_2024_suspect;ev_2024_suspect
CANTE,2025,14000000000.0,14167895716.0,,0.5012,12.0743,2.0,7000000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pe_non_positive_net_income
CCOLA,2020,15985559395.9652,41578742395.9652,12.9682,0.2108,13.5812,62.843536,254370782.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CCOLA,2021,21618170731.1044,47211353731.1044,9.5175,0.2851,10.4124,84.986847,254370782.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CCOLA,2022,49986412545.6513,75579595545.6513,11.5414,0.6591,7.6902,196.51004,254370782.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CCOLA,2023,128647254542.3676,154240437542.3676,6.2511,1.6963,8.4924,505.746979,254370782.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CCOLA,2024,161585740330.8282,,10.9081,,,57.748821,2798078602.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
CCOLA,2025,161845841323.4344,187439024323.4344,11.501,2.134,5.7157,57.841778,2798078602.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CIMSA,2020,300637179.8931,23676739179.8931,1.7106,0.0086,47.8047,2.22555,135084442.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CIMSA,2021,519620002.2149,23895722002.2149,0.5111,0.0149,27.276,3.846631,135084442.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CIMSA,2022,1766307022.873,25142409022.873,0.5147,0.0508,17.2574,13.075577,135084442.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CIMSA,2023,26119975795.1814,49496077795.1814,10.4862,0.7514,10.9908,27.622908,945591094.0,yahoo_chart_api,manual,modeling_dataset,accepted,
CIMSA,2024,42860064283.1381,,15.9459,,,45.326214,945591094.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
CIMSA,2025,43301607098.8903,66677709098.8903,13.9585,1.2457,7.3267,45.793163,945591094.0,yahoo_chart_api,manual,modeling_dataset,accepted,
DOAS,2020,3144359680.0,28328935680.0,3.0312,0.0468,17.9846,14.292544,220000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
DOAS,2021,5308948040.0,30493524040.0,2.277,0.0791,9.3113,24.131582,220000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
DOAS,2022,26567291080.0,51751867080.0,3.3955,0.3957,6.294,120.760414,220000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
DOAS,2023,39576102060.0,64760678060.0,2.0169,0.5894,2.3256,179.891373,220000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
DOAS,2024,34808235880.0,,4.5847,,,158.219254,220000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
DOAS,2025,38340699980.0,63525275980.0,12.2062,0.571,4.2735,174.275909,220000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
DSTKF,2020,,,,,,,50000000.0,,manual,modeling_dataset,rejected,missing_price
DSTKF,2021,,,,,,,50000000.0,,manual,modeling_dataset,rejected,missing_price
DSTKF,2022,,,,,,,190000000.0,,manual,modeling_dataset,rejected,missing_price
DSTKF,2023,,,,,,,250000000.0,,manual,modeling_dataset,rejected,missing_price
DSTKF,2024,,,,,,,250000000.0,,manual,modeling_dataset,rejected,missing_price
DSTKF,2025,184999999815.0,177512983815.0,49.1266,15.1561,56.0025,555.0,333333333.0,yahoo_chart_api,manual,modeling_dataset,accepted,
ENKAI,2020,30709072800.0,-182561438200.0,6.8166,0.0823,-66.7162,5.483763,5600000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
ENKAI,2021,65409898400.0,-147860612600.0,12.6787,0.1753,-23.7521,11.680339,5600000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
ENKAI,2022,161165132800.0,-52105378200.0,82.1723,0.4318,-3.7868,28.779488,5600000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
ENKAI,2023,167245204000.0,-46025307000.0,9.8558,0.4481,-2.8815,29.865215,5600000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,enterprise_value_non_positive
ENKAI,2024,250748232000.0,,10.1555,,,44.77647,5600000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,pb_2024_suspect;ev_2024_suspect
ENKAI,2025,427167479199.9999,213896968199.9999,11.8057,1.1446,6.3015,76.279907,5600000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
EREGL,2020,19538872500.0,51010147500.0,5.9046,0.0661,7.1859,5.582535,3500000000.0,yahoo_chart_api,manual,modeling_dataset,accepted,
