target,split,model,kind,mae,rmse,spearman,precision_at_5,top_bucket_avg_return,median_actual_return,directional_acc
next_year_outperform_bist100,test_2024,baseline_equal_weight,baseline,0.49,0.5,0.059,0.4,0.6,1.0,0.5
next_year_outperform_bist100,test_2024,baseline_rank_score,baseline,0.49,0.5,0.059,0.4,0.6,1.0,0.5
next_year_outperform_bist100,test_2024,linear_regression,ml,0.47,0.54,0.128,0.2,0.4,1.0,0.5
next_year_outperform_bist100,test_2024,ridge,ml,0.5,0.54,0.007,0.0,0.2,1.0,0.5
next_year_outperform_bist100,test_2024,lasso,ml,0.5,0.5,,0.2,0.6,1.0,1.0
next_year_outperform_bist100,test_2024,elasticnet,ml,0.5,0.5,,0.2,0.6,1.0,1.0
next_year_outperform_bist100,test_2024,random_forest,ml,0.47,0.51,0.119,0.2,0.8,1.0,0.5
next_year_outperform_bist100,test_2025,baseline_equal_weight,baseline,0.53,0.55,-0.2,0.0,0.2,0.0,0.4
next_year_outperform_bist100,test_2025,baseline_rank_score,baseline,0.53,0.55,-0.2,0.0,0.2,0.0,0.4
next_year_outperform_bist100,test_2025,linear_regression,ml,0.56,0.64,-0.095,0.2,0.6,0.0,0.4
next_year_outperform_bist100,test_2025,ridge,ml,0.56,0.58,-0.218,0.0,0.2,0.0,0.4
next_year_outperform_bist100,test_2025,lasso,ml,0.52,0.53,,0.2,0.2,0.0,0.65
next_year_outperform_bist100,test_2025,elasticnet,ml,0.52,0.53,,0.2,0.2,0.0,0.65
next_year_outperform_bist100,test_2025,random_forest,ml,0.56,0.58,-0.195,0.0,0.2,0.0,0.4
next_year_top_20pct_returner,test_2023,baseline_equal_weight,baseline,0.53,0.54,-0.226,0.0,0.0,0.0,0.425
next_year_top_20pct_returner,test_2023,baseline_rank_score,baseline,0.53,0.54,-0.226,0.0,0.0,0.0,0.425
next_year_top_20pct_returner,test_2023,linear_regression,ml,0.41,0.52,0.096,0.0,0.0,0.0,0.525
next_year_top_20pct_returner,test_2023,ridge,ml,0.36,0.47,0.003,0.2,0.2,0.0,0.475
next_year_top_20pct_returner,test_2023,lasso,ml,0.35,0.42,,0.4,0.4,0.0,0.775
next_year_top_20pct_returner,test_2023,elasticnet,ml,0.35,0.42,,0.4,0.4,0.0,0.775
